first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Giannis,Antetokounmpo,MIL,2019,63.0,30:23:00,10.87,19.65,1.41,4.65,6.32,9.98,2.22,11.37,13.59,5.62,0.97,1.05,3.65,3.1,29.48,0.5531806615776081,0.30322580645161284,0.6332665330661322
Kemba,Walker,BOS,2019,56.0,31:07:00,6.75,15.88,3.21,8.45,3.73,4.32,0.64,3.23,3.88,4.79,0.86,0.5,2.09,1.63,20.45,0.4250629722921914,0.37988165680473374,0.8634259259259258
Joel,Embiid,PHI,2019,51.0,29:32:00,7.49,15.71,1.12,3.37,6.88,8.53,2.76,8.86,11.63,2.98,0.88,1.27,3.12,3.41,22.98,0.4767663908338638,0.33234421364985167,0.8065650644783119
Pascal,Siakam,TOR,2019,60.0,35:11:00,8.33,18.4,2.18,6.08,4.0,5.05,1.07,6.25,7.32,3.45,1.02,0.88,2.47,2.83,22.85,0.45271739130434785,0.3585526315789474,0.7920792079207921
Trae,Young,ATL,2019,60.0,35:20:00,9.1,20.82,3.42,9.47,8.02,9.32,0.53,3.72,4.25,9.33,1.08,0.13,4.82,1.73,29.63,0.4370797310278578,0.36114044350580776,0.8605150214592274
Kyle,Lowry,TOR,2019,58.0,36:15:00,5.76,13.84,2.83,8.03,5.07,5.91,0.55,4.48,5.03,7.47,1.41,0.45,3.07,3.28,19.41,0.4161849710982659,0.35242839352428396,0.8578680203045685
Khris,Middleton,MIL,2019,62.0,29:55:00,7.6,15.27,2.37,5.71,3.35,3.66,0.71,5.45,6.16,4.27,0.85,0.11,2.21,2.29,20.92,0.4977079240340537,0.415061295971979,0.9153005464480874
Rudy,Gobert,UTA,2019,68.0,34:20:00,5.68,8.19,0.0,0.0,3.74,5.93,3.38,10.09,13.47,1.49,0.75,1.99,1.91,3.16,15.09,0.6935286935286935,0.0,0.6306913996627319
Donovan,Mitchell,UTA,2019,69.0,34:13:00,8.72,19.45,2.51,6.86,4.03,4.67,0.77,3.64,4.41,4.26,1.01,0.2,2.67,2.49,23.99,0.4483290488431877,0.3658892128279883,0.8629550321199144
Jimmy,Butler,MIA,2019,58.0,33:44:00,5.95,13.07,0.5,2.05,7.55,9.05,1.83,4.83,6.66,6.03,1.78,0.55,2.19,1.4,19.95,0.45524100994644223,0.24390243902439027,0.8342541436464087
Bam,Adebayo,MIA,2019,72.0,33:32:00,6.11,10.97,0.03,0.19,3.67,5.31,2.44,7.76,10.21,5.11,1.14,1.29,2.83,2.53,15.92,0.5569735642661805,0.15789473684210525,0.6911487758945386
